coordinate,type,url,http_status,final_url,size,sha256,result
org.bouncycastle:bcprov-jdk15on:1.70,jar,https://repo.maven.apache.org/maven2/org/bouncycastle/bcprov-jdk15on/1.70/bcprov-jdk15on-1.70.jar,200,https://repo.maven.apache.org/maven2/org/bouncycastle/bcprov-jdk15on/1.70/bcprov-jdk15on-1.70.jar,5867298,8f3c20e3e2d565d26f33e8d4857a37d0d7f8ac39b62a7026496fcab1bdac30d4,available
org.digidoc4j:digidoc4j:5.3.1,pom,https://repo.maven.apache.org/maven2/org/digidoc4j/digidoc4j/5.3.1/digidoc4j-5.3.1.pom,200,https://repo.maven.apache.org/maven2/org/digidoc4j/digidoc4j/5.3.1/digidoc4j-5.3.1.pom,34171,55b00cfd10af91794e39c628229adc527212785ffae42dffa27ef38a87bda0b0,available
org.digidoc4j:digidoc4j:5.3.1,jar,https://repo.maven.apache.org/maven2/org/digidoc4j/digidoc4j/5.3.1/digidoc4j-5.3.1.jar,200,https://repo.maven.apache.org/maven2/org/digidoc4j/digidoc4j/5.3.1/digidoc4j-5.3.1.jar,493909,060f2b564f7128ebf7cb2115c011ed0590747e254625b9b33dedd8a2e2e0c45c,available
org.glassfish.jaxb:jaxb-runtime:4.0.5,pom,https://repo.maven.apache.org/maven2/org/glassfish/jaxb/jaxb-runtime/4.0.5/jaxb-runtime-4.0.5.pom,200,https://repo.maven.apache.org/maven2/org/glassfish/jaxb/jaxb-runtime/4.0.5/jaxb-runtime-4.0.5.pom,10834,77c4fa06e2d9c953762c2e63517377a1ae2859b181b2c133759cb5a682a88ca0,available
org.glassfish.jaxb:jaxb-runtime:4.0.5,jar,https://repo.maven.apache.org/maven2/org/glassfish/jaxb/jaxb-runtime/4.0.5/jaxb-runtime-4.0.5.jar,200,https://repo.maven.apache.org/maven2/org/glassfish/jaxb/jaxb-runtime/4.0.5/jaxb-runtime-4.0.5.jar,920213,485d8940e76373a7f300815ea5504bf5b726c234425ad30971019d133124cca4,available
org.hamcrest:hamcrest-library:3.0,pom,https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-library/3.0/hamcrest-library-3.0.pom,200,https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-library/3.0/hamcrest-library-3.0.pom,1870,2e2640e47b4a88a2e727d3de43504a6089598d6542b7c88e9a4e6d4a7972386e,available
org.hamcrest:hamcrest-library:3.0,jar,https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-library/3.0/hamcrest-library-3.0.jar,200,https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-library/3.0/hamcrest-library-3.0.jar,2442,9d084005ad1dfbb3b020039c89f496e66d3fc0431e8eab6b5a497406013d09bb,available
org.mockito:mockito-core:5.14.2,pom,https://repo.maven.apache.org/maven2/org/mockito/mockito-core/5.14.2/mockito-core-5.14.2.pom,200,https://repo.maven.apache.org/maven2/org/mockito/mockito-core/5.14.2/mockito-core-5.14.2.pom,2467,638e56a68f496879bc8a0f53cfbdf9c4cc39a45b6e438a333a5ea83c09ee9cfd,available
org.mockito:mockito-core:5.14.2,jar,https://repo.maven.apache.org/maven2/org/mockito/mockito-core/5.14.2/mockito-core-5.14.2.jar,200,https://repo.maven.apache.org/maven2/org/mockito/mockito-core/5.14.2/mockito-core-5.14.2.jar,707680,2296141c1e1f2e1ae35c08d36a9ab4563ecd66e03533fe82630a764e7aa49182,available
org.yaml:snakeyaml:2.3,pom,https://repo.maven.apache.org/maven2/org/yaml/snakeyaml/2.3/snakeyaml-2.3.pom,200,https://repo.maven.apache.org/maven2/org/yaml/snakeyaml/2.3/snakeyaml-2.3.pom,21712,0f5a265a06331b0049e352be32ca322de18b17f3d4dbb70635d40da692e3582f,available
org.yaml:snakeyaml:2.3,jar,https://repo.maven.apache.org/maven2/org/yaml/snakeyaml/2.3/snakeyaml-2.3.jar,200,https://repo.maven.apache.org/maven2/org/yaml/snakeyaml/2.3/snakeyaml-2.3.jar,342152,63a76fe66b652360bd4c2c107e6f0258daa7d4bb492008ba8c26fcd230ff9146,available
pl.pragmatists:JUnitParams:1.1.1,pom,https://repo.maven.apache.org/maven2/pl/pragmatists/JUnitParams/1.1.1/JUnitParams-1.1.1.pom,200,https://repo.maven.apache.org/maven2/pl/pragmatists/JUnitParams/1.1.1/JUnitParams-1.1.1.pom,8379,ae0b4f5980d636680711a70e5c26269e502f879429d8fd9a28875e7c4753c51e,available
pl.pragmatists:JUnitParams:1.1.1,jar,https://repo.maven.apache.org/maven2/pl/pragmatists/JUnitParams/1.1.1/JUnitParams-1.1.1.jar,200,https://repo.maven.apache.org/maven2/pl/pragmatists/JUnitParams/1.1.1/JUnitParams-1.1.1.jar,67815,1be1aac16d424ce940d5407bef86656dc4ed5803c93e563cb1682ae07b591ecb,available
