name,version,license,metadata_url,metadata_http_status,metadata_final_url,metadata_sha256,tarball_url,tarball_http_status,tarball_final_url,tarball_size,tarball_sha256,npm_sha1,npm_integrity
@fortawesome/fontawesome-free,6.7.2,(CC-BY-4.0 AND OFL-1.1 AND MIT),https://registry.npmjs.org/@fortawesome/fontawesome-free/6.7.2,200,https://registry.npmjs.org/@fortawesome/fontawesome-free/6.7.2,d5dc29b66d20b09d6585d8a19d384d2acbe784073cd5d8de82f440c3c79e19b2,https://registry.npmjs.org/@fortawesome/fontawesome-free/-/fontawesome-free-6.7.2.tgz,200,https://registry.npmjs.org/@fortawesome/fontawesome-free/-/fontawesome-free-6.7.2.tgz,4975734,794284b4ac7f3e30825bbeea1a073f542c45dff83f8146625f600f1015c9d52b,8249de9b7e22fcb3ceb5e66090c30a1d5492b81a,sha512-JUOtgFW6k9u4Y+xeIaEiLr3+cjoUPiAuLXoyKOJSia6Duzb7pq+A76P9ZdPDoAoxHdHzq6gE9/jKBGXlZT8FbA==
bootstrap,3.4.1,MIT,https://registry.npmjs.org/bootstrap/3.4.1,200,https://registry.npmjs.org/bootstrap/3.4.1,dcf57da660bdddd193f003d866f7b66c4ee89a13dd98135722370322aa45d649,https://registry.npmjs.org/bootstrap/-/bootstrap-3.4.1.tgz,200,https://registry.npmjs.org/bootstrap/-/bootstrap-3.4.1.tgz,573341,990c17dbc1560f3262b6a5404c6ed01ff5a58487b8f553663a284c37fb8ec5cc,c3a347d419e289ad11f4033e3c4132b87c081d72,sha512-yN5oZVmRCwe5aKwzRj6736nSmKDX7pLYwsXiCj/EYmo16hODaBiT4En5btW/jhBF/seV+XMx3aYwukYC3A49DA==
datatables.net,2.3.2,MIT,https://registry.npmjs.org/datatables.net/2.3.2,200,https://registry.npmjs.org/datatables.net/2.3.2,4f84ccb3a46fa6392c726a0a5bc8feac0554659936212e78a82e7da9dfd31e37,https://registry.npmjs.org/datatables.net/-/datatables.net-2.3.2.tgz,200,https://registry.npmjs.org/datatables.net/-/datatables.net-2.3.2.tgz,304452,c3fcde1335e1c26f6916a90778307ca7889e1deeb943c61ad763db126260e92e,6821f6288e6ad3cb6879c33e0e7e11d4091d330b,sha512-31TzwIQM0+pr2ZOEOEH6dsHd/WSAl5GDDGPezOHPI3mM2NK4lcDyOoG8xXeWmSbVfbi852LNK5C84fpp4Q+qxg==
jquery,3.7.1,MIT,https://registry.npmjs.org/jquery/3.7.1,200,https://registry.npmjs.org/jquery/3.7.1,1074b92b17e586198ed4a1686fcf326d3c18da296c685c0a1a26ce4f21b95123,https://registry.npmjs.org/jquery/-/jquery-3.7.1.tgz,200,https://registry.npmjs.org/jquery/-/jquery-3.7.1.tgz,404231,68a9f787516da47c680e09c187bcbac4536b6f85d90eb882844e12919e583f53,083ef98927c9a6a74d05a6af02806566d16274de,sha512-m4avr8yL8kmFN8psrbFFFmB/If14iN5o9nw/NgnnM+kybDJpRsAynV2BsfpTYrTRysYUdADVD7CkUUizgkpLfg==
metismenu,1.1.3,MIT,https://registry.npmjs.org/metismenu/1.1.3,200,https://registry.npmjs.org/metismenu/1.1.3,a73bb6736d658e8e0ea5e0336f5cfa8d2dd091d6eb5331319ddff4c45920dd78,https://registry.npmjs.org/metismenu/-/metismenu-1.1.3.tgz,200,https://registry.npmjs.org/metismenu/-/metismenu-1.1.3.tgz,8681,5ba3d94f5a0d3773346943ee50c35eb0e9c0c9bf2b29cde832cb4e76147e282f,977300be6b5d968ebb96f55d7774ba9c5926bb74,sha512-dZ4eehennxipRnEaX0zsqwasLZgHdvErzamSfBPYvIJ98mGfmYkf11OiigEqolJFhF/ev+ooWnqjzO+k+mV+eA==
startbootstrap-sb-admin-2,3.3.7,"{'type': 'MIT', 'url': 'https://github.com/BlackrockDigital/startbootstrap/blob/gh-pages/LICENSE'}",https://registry.npmjs.org/startbootstrap-sb-admin-2/3.3.7,200,https://registry.npmjs.org/startbootstrap-sb-admin-2/3.3.7,0b43de0feee4b2c0d1cfe4220614b4ef3ad74f8099d50381e825bafa8a1d3422,https://registry.npmjs.org/startbootstrap-sb-admin-2/-/startbootstrap-sb-admin-2-3.3.7.tgz,200,https://registry.npmjs.org/startbootstrap-sb-admin-2/-/startbootstrap-sb-admin-2-3.3.7.tgz,1470870,90ae6337459ea45af9a5315abb47aa2e8cc698e5ff754bce1fc85235e4489a4b,0b8f5f1a90f807a42c041c747ed97b4fde7ad681,sha512-HtfR1hgwPiK6NEB9U2wQg/LUGx6g9aRkuBxT2lKBXLPkbYu3ygqCzA9dLUXUMK/+wjGiGvyTfpjyuNPIUpFH6w==
